date,exchange_rate
2017-05-05,91.64
2017-05-04,94.99
2017-05-03,80
2017-05-02,77.7
2017-05-01,77.33
2017-04-30,79.71
2017-04-29,70.21
2017-04-28,72.65
2017-04-27,63.35
2017-04-26,53.53
2017-04-25,50.42
2017-04-24,50.5
2017-04-23,48.79
2017-04-22,48.63
2017-04-21,48.47
2017-04-20,49.61
2017-04-19,47.96
2017-04-18,49.98
2017-04-17,48.23
2017-04-16,48.29
2017-04-15,48.53
2017-04-14,47.5
2017-04-13,50.23
2017-04-12,46.54
2017-04-11,43.87
2017-04-10,43.92
2017-04-09,43.87
2017-04-08,44.85
2017-04-07,42.42
2017-04-06,43.48
2017-04-05,45.38
2017-04-04,44.59
2017-04-03,44
2017-04-02,48.61
2017-04-01,50.92
2017-03-31,49.07
2017-03-30,51.99
2017-03-29,53.32
2017-03-28,50.27
2017-03-27,48.81
2017-03-26,50.39
2017-03-25,50.32
2017-03-24,52.81
2017-03-23,43.14
2017-03-22,41.35
2017-03-21,42.5
2017-03-20,42
2017-03-19,42.31
2017-03-18,34
2017-03-17,44.51
2017-03-16,45.6
2017-03-15,35
2017-03-14,28.99
2017-03-13,28.76
2017-03-12,23.6
2017-03-11,21.5
2017-03-10,19.1
2017-03-09,18
2017-03-08,16.52
2017-03-07,18.95
2017-03-06,19.97
2017-03-05,19.2
2017-03-04,18.65
2017-03-03,19.6
2017-03-02,19.21
2017-03-01,17.87
2017-02-28,16.05
2017-02-27,15.5
2017-02-26,14.95
2017-02-25,13.72
2017-02-24,13.22
2017-02-23,13.14
2017-02-22,12.69
2017-02-21,12.84
2017-02-20,12.54
2017-02-19,12.78
2017-02-18,12.8
2017-02-17,12.74
2017-02-16,12.96
2017-02-15,13.06
2017-02-14,12.98
2017-02-13,11.31
2017-02-12,11.36
2017-02-11,11.39
2017-02-10,11.31
2017-02-09,11.06
2017-02-08,11.47
2017-02-07,11.51
2017-02-06,11.32
2017-02-05,11.23
2017-02-04,11.3
2017-02-03,10.98
2017-02-02,10.78
2017-02-01,10.73
2017-01-31,10.76
2017-01-30,10.73
2017-01-29,10.51
2017-01-28,10.58
2017-01-27,10.68
2017-01-26,10.71
2017-01-25,10.66
2017-01-24,10.57
2017-01-23,10.77
2017-01-22,10.76
2017-01-21,10.86
2017-01-20,10.72
2017-01-19,10.45
2017-01-18,10.25
2017-01-17,10.15
2017-01-16,9.6
2017-01-15,9.81
2017-01-14,9.88
2017-01-13,10.24
2017-01-12,9.76
2017-01-11,9.87
2017-01-10,10.68
2017-01-09,10.24
2017-01-08,10.42
2017-01-07,10.07
2017-01-06,10.19
2017-01-05,10.59
2017-01-04,11
2017-01-03,9.76
2017-01-02,8.55
2017-01-01,8.24
2016-12-31,8.1
2016-12-30,8.54
2016-12-29,8.38
2016-12-28,8.03
2016-12-27,7.23
2016-12-26,7.29
2016-12-25,7.22
2016-12-24,7.29
2016-12-23,7.25
2016-12-22,7.81
2016-12-21,7.95
2016-12-20,7.58
2016-12-19,7.77
2016-12-18,7.93
